threshold	PC	covariate	covariate_class	pearson_r	spearman_rho	abs_pearson
3	PC1	log_total_tax_abund_tad	technical	-0.523392812497299	-0.78664576687342	0.523392812497299
3	PC1	total_tax_abund_tad	technical	-0.629182693731198	-0.78664576687342	0.629182693731198
3	PC1	detected_taxa_tad	technical	-0.842526606336026	-0.873394071679066	0.842526606336026
3	PC1	log_total_n_reads	technical	-0.64809564010846	-0.804910387995347	0.64809564010846
3	PC1	total_n_reads	technical	-0.624681560897018	-0.804910387995347	0.624681560897018
3	PC1	log_total_n_reads_tad	technical	-0.516806527853713	-0.776824496843601	0.516806527853713
3	PC1	library_concentration	technical	-0.591616106141791	-0.694011682326678	0.591616106141791
3	PC1	avg_leng_initial	technical	-0.247425847493668	-0.320126387575054	0.247425847493668
3	PC1	avg_len_derep	technical	-0.199992187145474	-0.24592908175669	0.199992187145474
3	PC1	age_kyr	biological_proxy	0.434710631597633	0.503598019149083	0.434710631597633
3	PC1	mis	biological_proxy	-0.350144898080727	-0.407500382947562	0.350144898080727
3	PC1	sst	biological_proxy	0.224812273954541	0.159162962564904	0.224812273954541
3	PC2	log_total_tax_abund_tad	technical	0.384013099705854	0.545220090742657	0.384013099705854
3	PC2	total_tax_abund_tad	technical	0.350757667451866	0.545220090742657	0.350757667451866
3	PC2	detected_taxa_tad	technical	0.249214990897967	0.528911353319037	0.249214990897967
3	PC2	log_total_n_reads	technical	0.426498824277548	0.525836320084765	0.426498824277548
3	PC2	total_n_reads	technical	0.353160674773093	0.525836320084765	0.353160674773093
3	PC2	log_total_n_reads_tad	technical	0.371842277220143	0.5288117120482	0.371842277220143
3	PC2	library_concentration	technical	0.278232602475759	0.419418633615326	0.278232602475759
3	PC2	avg_leng_initial	technical	0.239188758972173	0.249498310638479	0.239188758972173
3	PC2	avg_len_derep	technical	0.145421558651178	0.205980048202613	0.145421558651178
3	PC2	age_kyr	biological_proxy	-0.114104985470322	-0.141945863005846	0.114104985470322
3	PC2	mis	biological_proxy	-0.324467995797658	-0.191739782771355	0.324467995797658
3	PC2	sst	biological_proxy	-0.128477196812875	-0.0149630187615233	0.128477196812875
3	PC3	log_total_tax_abund_tad	technical	-0.291183289509465	-0.36874337952106	0.291183289509465
3	PC3	total_tax_abund_tad	technical	-0.0764118606973561	-0.36874337952106	0.0764118606973561
3	PC3	detected_taxa_tad	technical	0.128630984592128	-0.26219211543716	0.128630984592128
3	PC3	log_total_n_reads	technical	-0.345634108271889	-0.428665762077778	0.345634108271889
3	PC3	total_n_reads	technical	-0.226736001714164	-0.428665762077778	0.226736001714164
3	PC3	log_total_n_reads_tad	technical	-0.321766540075208	-0.41992419742957	0.321766540075208
3	PC3	library_concentration	technical	-0.0281666415084594	-0.209900497514844	0.0281666415084594
3	PC3	avg_leng_initial	technical	0.355800386751377	0.281233554550155	0.355800386751377
3	PC3	avg_len_derep	technical	0.324430298665632	0.314523175326614	0.324430298665632
3	PC3	age_kyr	biological_proxy	0.069349376406612	0.108648653712808	0.069349376406612
3	PC3	mis	biological_proxy	-0.0182890645298717	-0.0487726925172216	0.0182890645298717
3	PC3	sst	biological_proxy	0.00779117825185598	-0.0793042749586482	0.00779117825185598
3	PC4	log_total_tax_abund_tad	technical	0.00505261889891258	-0.0646489385803244	0.00505261889891258
3	PC4	total_tax_abund_tad	technical	0.483142145766461	-0.0646489385803244	0.483142145766461
3	PC4	detected_taxa_tad	technical	0.282869641498279	-0.148360497337956	0.282869641498279
3	PC4	log_total_n_reads	technical	0.0733749677753	-0.0945622975939607	0.0733749677753
3	PC4	total_n_reads	technical	0.448144208015353	-0.0945622975939607	0.448144208015353
3	PC4	log_total_n_reads_tad	technical	0.0140977717828345	-0.052900152462359	0.0140977717828345
3	PC4	library_concentration	technical	0.019474863171438	-0.181357784280676	0.019474863171438
3	PC4	avg_leng_initial	technical	0.0681372216068758	-0.0472122292674938	0.0681372216068758
3	PC4	avg_len_derep	technical	0.0291709738286233	-0.042612465733218	0.0291709738286233
3	PC4	age_kyr	biological_proxy	-0.240208880617582	-0.125177559107414	0.240208880617582
3	PC4	mis	biological_proxy	-0.499205258993183	-0.349800704353598	0.499205258993183
3	PC4	sst	biological_proxy	-0.174777899607097	-0.328280555755019	0.174777899607097
3	PC5	log_total_tax_abund_tad	technical	0.0805068611645731	0.0612543549740079	0.0805068611645731
3	PC5	total_tax_abund_tad	technical	-0.161763061293321	0.0612543549740079	0.161763061293321
3	PC5	detected_taxa_tad	technical	-0.080812727892645	0.215279342058602	0.080812727892645
3	PC5	log_total_n_reads	technical	0.0397844679113293	0.041876661786233	0.0397844679113293
3	PC5	total_n_reads	technical	-0.154985379225573	0.041876661786233	0.154985379225573
3	PC5	log_total_n_reads_tad	technical	0.0568889322939857	0.0134840404362015	0.0568889322939857
3	PC5	library_concentration	technical	-0.020543475369026	0.197049602837424	0.020543475369026
3	PC5	avg_leng_initial	technical	0.440799058754067	0.416352182908254	0.440799058754067
3	PC5	avg_len_derep	technical	0.344773940862503	0.371027735936276	0.344773940862503
3	PC5	age_kyr	biological_proxy	-0.50347243746012	-0.577870333484469	0.50347243746012
3	PC5	mis	biological_proxy	0.254623700371041	0.386016837854234	0.254623700371041
3	PC5	sst	biological_proxy	-0.175590378316944	-0.1555150436754	0.175590378316944
